user,text,date,likes,original_id
1578625586376736768,"@_cancelery_ I was a little too proud of getting a 23 on my ACT without studying in high school. Even though I did surprisingly well for going in blind, in hindsight, I should have applied myself a little more  I never took the SAT because Collegeboard can go fuck itself",2023-02-25T05:56:22.000Z,2,1629359628588023808
1614346400120070147,@spaceandtime66 @TIME I win.  You're wrong.  Ask @CollegeBoard,2023-02-23T00:55:30.000Z,0,1628559140749451265
1558098938070274049,@athack97 @realstep4dwife @melofagoodtime @jt1anglais @GavinNewsom @CollegeBoard Morals and values?,2023-02-23T00:36:38.000Z,1,1628554392512126982
889164356075827202,Thank you @NCCATNews and @CollegeBoard for partnering to provide PD! https://t.co/gtyqq75aG4,2023-02-21T21:27:30.000Z,1,1628144405499486208
3286603913,#CollegeBoard #SATTest https://t.co/xMsA6hhWIQ,2023-02-21T19:44:58.000Z,0,1628118601193426965
4574583730,"Have you heard about the AP Capstone Diploma Program? AP Capstone is a diploma program from @collegeboard  based on two-year-long AP courses: AP Seminar and AP Research. These courses develop students’ skills in research, analysis, evidence-based arguments, collaboration,… https://t.co/54CeQW8UWu https://t.co/DxAoVW9f3Y",2023-02-24T03:20:36.000Z,1,1628958042891988994
811753399712710656,"@CollegeBoard I’ve wanted to say this since I was 17, College Board you can stick a #2 pencil in your a) ass b) butt c) arse d) anus e) all of the above. Correct answer ‘e’.  Bunch of chickenshits for changing the rules and hurting students in FL.",2023-02-24T23:01:03.000Z,0,1629255111472996355
1513546526785736704,@CollegeBoard A,2023-02-24T15:32:54.000Z,0,1629142332414066688
909966551582945281,If you told me that collegeboard lobbied to have calculus treated as the gold standard for advanced highschool math I wouldn't be surprised at all https://t.co/7Wm6PC6vET,2023-02-20T16:07:13.000Z,87,1627701415463247872
1458462143938895873,"@EndWokeness Governor Desantis is the one considering to stop AP classes. Plus, collegeboard is a scam. They’re just milking money from everyone. The SAT doesn’t necessarily test smartness. Also a rich person could try multiple times and so it becomes unfair to a poor person",2023-02-24T04:27:39.000Z,0,1628974914857320448
40012051,"David Coleman, @collegeboard's pilot AP Black Studies course never violated Florida law.   Refuse to diminish the contributions of Black women, Black LGBTQIA+/SGL people, &amp; the movements for reparations &amp; Black lives in the course -- or resign.",2023-02-22T19:22:47.000Z,0,1628475406922944512
960848401,"Please note: The @CollegeBoard website, including AP Classroom and My AP, will be down again for scheduled maintenance tonight between midnight and 7 am Eastern Time.",2023-02-23T03:45:00.000Z,1,1628601795411836930
755704566,@CollegeBoard You’re failing. This is just another sign. You deserve it.,2023-02-26T22:51:53.000Z,0,1629977582480285698
879012737178894336,@Arthur35362922 @SBMcCallister @DJJakeJ @CollegeBoard @BLM @PEstakeholder Crying happy tears. https://t.co/hIKobCQ494,2023-02-21T13:49:50.000Z,1,1628029231576846342
735497173,"A3: What was really disappointing (though not surprising) was the list of authors who were removed from the @CollegeBoard’s AP African American Studies. bell hooks, @sandylocks and @nhannahjones. It felt like specific erasure of Black women’s contributions. #EduColor https://t.co/3YVrRQ1rDu",2023-02-24T01:05:01.000Z,6,1628923919863529473
1614346400120070147,"@spaceandtime66 @TIME Again, that's just not true!  9th grade can take AP Human Geo, 10th take AP World, Euro and others. Ask anyone at @CollegeBoard and they'll tell you you are 100% wrong!",2023-02-22T23:32:11.000Z,0,1628538171251212295
